clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey
11923,10001932,2020-08-06 04:16:38.96,0.41969,6,2
11923,10001933,2020-08-06 04:16:38.96,0.10825,6,2
11923,10001935,2020-08-06 04:16:38.96,0.3924,6,2
11923,10001936,2020-08-06 04:16:38.96,0.2002,6,2
11923,10001946,2020-08-06 04:16:38.96,85.15,6,2
11923,10001965,2020-08-06 04:16:38.96,0.03029,6,2
11923,10001974,2020-08-06 04:16:38.96,0.1019,6,2
11923,10001979,2020-08-06 04:16:38.96,3629.3125,6,2
11923,10001988,2020-08-06 04:16:38.96,0.0397,6,2
11923,10001989,2020-08-06 04:16:38.96,0.0732,6,2
11923,10001990,2020-08-06 04:16:38.96,0.1752,6,2
11923,10001991,2020-08-06 04:16:38.96,0.06652,6,2
11923,10002043,2020-08-06 04:16:38.96,0.03467,6,2
11923,10002044,2020-08-06 04:16:38.96,0.035,6,2
11923,10002298,2020-08-06 04:16:38.96,0.165,6,2
11923,10002299,2020-08-06 04:16:38.96,0.165,6,2
11923,10002304,2020-08-06 04:16:38.96,0.4947,6,2
11923,10002306,2020-08-06 04:16:38.96,0.82,6,2
11923,10002307,2020-08-06 04:16:38.96,4.6,6,2
11923,10002308,2020-08-06 04:16:38.96,7.7,6,2
11923,10002309,2020-08-06 04:16:38.96,3.528,6,2
11923,10002310,2020-08-06 04:16:38.96,7.056,6,2
11923,10002360,2020-08-06 04:16:38.96,0.1124,6,2
11923,10002361,2020-08-06 04:16:38.96,0.1702,6,2
11923,10002363,2020-08-06 04:16:38.96,4.85,6,2
11923,10002373,2020-08-06 04:16:38.96,0.184,6,2
11923,10002374,2020-08-06 04:16:38.96,0.1525,6,2
11923,10002376,2020-08-06 04:16:38.96,0.893,6,2
11923,10002377,2020-08-06 04:16:38.96,0.6208,6,2
11923,10002378,2020-08-06 04:16:38.96,1.882,6,2
11923,10002384,2020-08-06 04:16:38.96,6.15,6,2
11923,10002393,2020-08-06 04:16:38.96,0.351,6,2
11923,10002396,2020-08-06 04:16:38.96,3.85,6,2
11923,10002397,2020-08-06 04:16:38.96,2.0635,6,2
11923,10002398,2020-08-06 04:16:38.96,3.3847,6,2
11923,10002416,2020-08-06 04:16:38.96,0.04772,6,2
11923,10002423,2020-08-06 04:16:38.96,0.0559,6,2
11923,10002435,2020-08-06 04:16:38.96,0.702,6,2
11923,10002454,2020-08-06 04:16:38.96,0.00092,6,2
11923,10002458,2020-08-06 04:16:38.96,0.00133,6,2
11923,10002487,2020-08-06 04:16:38.96,1.13582,6,2
11923,10002493,2020-08-06 04:16:38.96,0.009,6,2
11923,10002495,2020-08-06 04:16:38.96,3.9304,6,2
11923,10002511,2020-08-06 04:16:38.96,0.7652,6,2
11923,10002514,2020-08-06 04:16:38.96,0.1219,6,2
11923,10002515,2020-08-06 04:16:38.96,0.1347,6,2
11923,10002516,2020-08-06 04:16:38.96,0.1583,6,2
11923,10002519,2020-08-06 04:16:38.96,0.03863,6,2
11923,10002529,2020-08-06 04:16:38.96,0.5,6,2
11923,10002531,2020-08-06 04:16:38.96,0.55,6,2
11923,10002548,2020-08-06 04:16:38.96,0.022,6,2
11923,10002549,2020-08-06 04:16:38.96,0.0295,6,2
11923,10002554,2020-08-06 04:16:38.96,11.93527,6,2
11923,10002575,2020-08-06 04:16:38.96,1.05,6,2
11923,10002576,2020-08-06 04:16:38.96,1.49,6,2
11923,10002586,2020-08-06 04:16:38.96,0.1041,6,2
11923,10002600,2020-08-06 04:16:38.96,0.15405,6,2
11923,10002604,2020-08-06 04:16:38.96,3.01,6,2
11923,10002640,2020-08-06 04:16:38.96,142.598,6,2
11923,10002641,2020-08-06 04:16:38.96,0.08933,6,2
11923,10002662,2020-08-06 04:16:38.96,2.0,6,2
11923,10002663,2020-08-06 04:16:38.96,0.69,6,2
11923,10002672,2020-08-06 04:16:38.96,0.1488,6,2
11923,10002673,2020-08-06 04:16:38.96,0.2821,6,2
11923,10002675,2020-08-06 04:16:38.96,0.08294,6,2
11923,10002688,2020-08-06 04:16:38.96,6.7955,6,2
11923,10002689,2020-08-06 04:16:38.96,2.2331,6,2
11923,10002695,2020-08-06 04:16:38.96,0.3884,6,2
11923,10002696,2020-08-06 04:16:38.96,0.182,6,2
11923,10002704,2020-08-06 04:16:38.96,43.358,6,2
11923,10002720,2020-08-06 04:16:38.96,4.63918,6,2
11923,10002730,2020-08-06 04:16:38.96,0.0863,6,2
11923,10002732,2020-08-06 04:16:38.96,0.15808,6,2
11923,10002734,2020-08-06 04:16:38.96,0.29574,6,2
11923,10002744,2020-08-06 04:16:38.96,0.3505,6,2
11923,10002749,2020-08-06 04:16:38.96,0.67375,6,2
11923,10002790,2020-08-06 04:16:38.96,0.09067,6,2
11923,10002794,2020-08-06 04:16:38.96,0.15867,6,2
11923,10002808,2020-08-06 04:16:38.96,0.0136,6,2
11923,10002810,2020-08-06 04:16:38.96,0.02584,6,2
11923,10002812,2020-08-06 04:16:38.96,17.3375,6,2
11923,10002813,2020-08-06 04:16:38.96,29.1875,6,2
11923,10002814,2020-08-06 04:16:38.96,40.5,6,2
11923,10002816,2020-08-06 04:16:38.96,0.152,6,2
11923,10002817,2020-08-06 04:16:38.96,0.1732,6,2
11923,10002818,2020-08-06 04:16:38.96,0.06443,6,2
11923,10002819,2020-08-06 04:16:38.96,0.4037,6,2
11923,10002823,2020-08-06 04:16:38.96,0.2046,6,2
11923,10002828,2020-08-06 04:16:38.96,3.69,6,2
11923,10002836,2020-08-06 04:16:38.96,0.04786,6,2
11923,10002841,2020-08-06 04:16:38.96,0.17533,6,2
11923,10002842,2020-08-06 04:16:38.96,0.40143,6,2
11923,10002843,2020-08-06 04:16:38.96,0.05311,6,2
11923,10002883,2020-08-06 04:16:38.96,25.825,6,2
11923,10002909,2020-08-06 04:16:38.96,0.4697,6,2
11923,10002912,2020-08-06 04:16:38.96,0.5494,6,2
11923,10002915,2020-08-06 04:16:38.96,11.255,6,2
11923,10002919,2020-08-06 04:16:38.96,4.817,6,2
11923,10003061,2020-08-06 04:16:38.96,4.47867,6,2
11923,10003062,2020-08-06 04:16:38.96,14.3257,6,2
11923,10003063,2020-08-06 04:16:38.96,4.714,6,2
11923,10003066,2020-08-06 04:16:38.96,7.15467,6,2
11923,10003067,2020-08-06 04:16:38.96,1.475,6,2
11923,10003068,2020-08-06 04:16:38.96,1.475,6,2
11923,10003279,2020-08-06 04:16:38.96,357.5233,6,2
11923,10003283,2020-08-06 04:16:38.96,0.048,6,2
11923,10003284,2020-08-06 04:16:38.96,0.0435,6,2
11923,10003285,2020-08-06 04:16:38.96,4.71,6,2
11923,10003286,2020-08-06 04:16:38.96,2.128,6,2
11923,10003290,2020-08-06 04:16:38.96,2.3175,6,2
11923,10003294,2020-08-06 04:16:38.96,2.576,6,2
11923,10003295,2020-08-06 04:16:38.96,0.9915,6,2
11923,10003296,2020-08-06 04:16:38.96,1.8196,6,2
11923,10003306,2020-08-06 04:16:38.96,1.36067,6,2
11923,10003307,2020-08-06 04:16:38.96,0.374,6,2
11923,10003310,2020-08-06 04:16:38.96,3.92,6,2
11923,10003311,2020-08-06 04:16:38.96,7.93567,6,2
11923,10003312,2020-08-06 04:16:38.96,1.988,6,2
11923,10003313,2020-08-06 04:16:38.96,7.1354,6,2
11923,10003319,2020-08-06 04:16:38.96,0.0864,6,2
11923,10003328,2020-08-06 04:16:38.96,3.5,6,2
11923,10003329,2020-08-06 04:16:38.96,20.0,6,2
11923,10003332,2020-08-06 04:16:38.96,475.97,6,2
11923,10003338,2020-08-06 04:16:38.96,21.3262,6,2
11923,10003369,2020-08-06 04:16:38.96,0.00376,6,2
11923,10003373,2020-08-06 04:16:38.96,0.00185,6,2
11923,10003376,2020-08-06 04:16:38.96,0.00346,6,2
11923,10003377,2020-08-06 04:16:38.96,0.272,6,2
11923,10003385,2020-08-06 04:16:38.96,0.00468,6,2
11923,10003392,2020-08-06 04:16:38.96,0.00155,6,2
11923,10003394,2020-08-06 04:16:38.96,0.00406,6,2
11923,10003406,2020-08-06 04:16:38.96,0.00148,6,2
11923,10003407,2020-08-06 04:16:38.96,0.00722,6,2
11923,10003408,2020-08-06 04:16:38.96,0.00269,6,2
11923,10003411,2020-08-06 04:16:38.96,0.0018,6,2
11923,10003412,2020-08-06 04:16:38.96,0.00256,6,2
11923,10003413,2020-08-06 04:16:38.96,0.00264,6,2
11923,10003414,2020-08-06 04:16:38.96,0.00146,6,2
