,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
32,13535,00435,-2147440892,12,12,2,1,2.0,2.0,2,0.0,3,0,3.0,3,547.0,0.0,3.1811259261850706,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
33,13535,00436,-2147440893,10,10,2,14,4.0,4.0,4,0.0,10,0,10.0,9,729.0,0.0,1.3643916431592533,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,13535,00436,-2147440893,10,10,2,14,4.0,4.0,4,0.0,10,0,10.0,9,729.0,0.0,1.3643916431592533,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35,13535,00711,-2147440893,10,10,2,21,21.0,21.0,21,0.0,10,0,0.0,26,211.0,0.0,7.076675552897354,7.0,21.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0
36,13535,00745,-2147440892,5,5,2,18,8.0,8.0,8,0.0,20,0,0.0,18,29.0,18.0,7.700724223165462,7.0,8.0,8.0,100.0,121.0,11.0,10.0,0.0,324.0,18.0
37,13535,00745,-2147440892,5,5,2,18,8.0,8.0,8,0.0,20,0,0.0,18,29.0,18.0,7.700724223165462,7.0,8.0,8.0,100.0,121.0,11.0,10.0,0.0,324.0,18.0
38,13535,00826,-2147440892,12,10,2,13,1.0,10.0,5,2.0,20,0,13.0,16,213.0,0.0,5.820470460716166,5.0,10.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
39,13535,00826,-2147440892,12,10,2,13,1.0,10.0,5,2.0,20,0,13.0,16,213.0,0.0,5.820470460716166,5.0,10.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
40,13535,01249,-2147440892,14,14,2,10,4.0,4.0,4,0.0,6,0,3.0,10,394.0,0.0,4.770523885237443,4.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
41,13535,01249,-2147440892,14,14,2,10,4.0,4.0,4,0.0,6,0,3.0,10,394.0,0.0,4.770523885237443,4.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
42,13535,01433,-2147440891,14,9,2,5,1.0,5.0,3,5.0,6,1,0.0,5,60.0,5.0,4.7248014572621075,4.0,5.0,2.0,9.0,1.0,1.0,3.0,0.0,25.0,5.0
43,13535,01448,-2147440893,14,9,4,11,4.0,11.0,7,1.6666666666666667,10,0,16.0,7,333.0,0.0,0.7325985996275346,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,13535,01448,-2147440893,14,9,4,11,4.0,11.0,7,1.6666666666666667,10,0,16.0,7,333.0,0.0,0.7325985996275346,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,13535,01448,-2147440892,10,10,2,5,2.0,2.0,2,0.0,5,0,3.0,5,182.0,0.0,6.499242505685682,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
46,13535,01448,-2147440892,10,10,2,5,2.0,2.0,2,0.0,5,0,3.0,5,182.0,0.0,6.499242505685682,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
47,13535,01448,-2147440890,14,9,4,10,8.0,9.0,8,1.6666666666666667,15,1,23.0,16,182.0,0.0,1.833454032668996,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
48,13535,01448,-2147440890,14,9,4,10,8.0,9.0,8,1.6666666666666667,15,1,23.0,16,182.0,0.0,1.833454032668996,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
