,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
44,13535,05998,-2147440893,14,14,2,30,38.0,38.0,38,0.0
45,13535,05998,-2147440892,14,14,2,20,9.0,9.0,9,0.0
46,13535,05998,-2147440891,14,4,6,16,2.0,9.0,5,2.0
47,13535,05998,-2147437246,14,10,4,7,1.0,8.0,4,1.3333333333333333
48,13535,06106,-2147440893,6,6,2,24,2.0,2.0,2,0.0
49,13535,06233,-2147440893,10,6,4,47,4.0,5.0,4,1.3333333333333333
50,13535,06233,-2147440892,10,10,2,13,3.0,3.0,3,0.0
51,13535,06246,-2147440893,14,5,2,17,8.0,16.0,12,9.0
52,13535,06253,-2147440893,13,5,4,7,1.0,5.0,3,2.6666666666666665
53,13535,06272,-2147440893,11,9,4,36,1.0,2.0,1,0.6666666666666666
54,13535,06272,-2147440892,14,14,2,12,1.0,1.0,1,0.0
55,13535,06495,-2147440893,14,9,4,13,2.0,11.0,4,1.6666666666666667
56,13535,06495,-2147440892,4,4,2,17,2.0,2.0,2,0.0
57,13535,06623,-2147440893,13,13,2,38,5.0,5.0,5,0.0
58,13535,06848,-2147440893,4,4,2,20,20.0,20.0,20,0.0
59,13535,07453,-2147440893,11,6,4,18,1.0,1.0,1,1.6666666666666667
60,13535,08184,-2147440892,5,4,3,2,1.0,1.0,1,0.5
61,13535,08449,-2147440893,14,6,2,10,10.0,10.0,10,8.0
62,13535,08449,-2147440892,14,4,6,10,4.0,5.0,4,2.0
63,13535,08449,-2147440891,14,7,2,9,9.0,10.0,9,7.0
64,13535,09167,-2147440892,9,9,2,17,1.0,1.0,1,0.0
65,13535,09274,-2147440893,10,10,2,13,11.0,11.0,11,0.0
66,13535,09274,-2147440892,10,10,2,19,15.0,15.0,15,0.0
67,13535,09838,-2147440892,9,9,2,6,6.0,6.0,6,0.0
68,13535,103785432,-2147440892,14,14,2,20,3.0,3.0,3,0.0
