,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
488,11923,10010709,-2147438135,15,13,2,4,1.0,2.0,1,2.0
489,11923,10010709,-2147438133,15,11,2,4,1.0,1.0,1,4.0
490,11923,10010709,-2147438132,13,5,3,4,1.0,2.0,1,4.0
491,11923,10010709,-2147438095,15,13,2,5,1.0,2.0,1,2.0
492,11923,10010709,-2147438091,15,11,3,7,1.0,3.0,1,2.0
493,11923,10010749,-2147438088,11,8,2,8,4.0,8.0,6,3.0
494,11923,10010757,-2147438100,13,7,2,10,4.0,6.0,5,6.0
495,11923,10010757,-2147438083,13,7,2,10,10.0,12.0,11,6.0
496,11923,10010797,-2147438101,12,6,2,10,1.0,8.0,4,6.0
497,11923,10011278,-2147438136,11,8,2,10,6.0,12.0,9,3.0
498,11923,10011390,-2147438091,11,8,2,5,5.0,6.0,5,3.0
499,11923,10011393,-2147438126,13,10,2,14,1.0,4.0,2,3.0
500,11923,10011393,-2147438088,13,11,2,13,5.0,6.0,5,2.0
501,11923,10011544,-2147438135,14,11,2,10,4.0,8.0,6,3.0
502,11923,10011544,-2147438127,14,11,2,6,6.0,7.0,6,3.0
503,11923,10011567,-2147438126,15,9,2,8,1.0,10.0,5,6.0
504,11923,10011567,-2147438101,15,14,2,14,1.0,14.0,7,1.0
505,11923,10011567,-2147437929,15,14,2,8,6.0,10.0,8,1.0
506,11923,10011569,-2147438095,12,8,2,23,1.0,2.0,1,4.0
507,11923,10011654,-2147438126,15,4,11,2,1.0,3.0,1,1.1
508,11923,10011654,-2147438125,12,5,6,2,1.0,2.0,1,1.4
509,11923,10011654,-2147438124,12,5,5,1,1.0,1.0,1,1.75
510,11923,10011654,-2147438107,15,4,6,2,1.0,4.0,1,2.2
511,11923,10011654,-2147438084,13,6,4,3,1.0,2.0,1,2.3333333333333335
512,11923,10011654,-2147438083,11,7,3,2,1.0,1.0,1,2.0
513,11923,10011712p,-2147438137,11,4,2,8,4.0,5.0,4,7.0
514,11923,10011712p,-2147438100,11,8,2,8,1.0,4.0,2,3.0
515,11923,10011791,-2147438108,11,6,2,5,1.0,4.0,2,5.0
