,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
665,11923,10028178,-2147438083,11,8,2,14,3.0,11.0,7,3.0,20,1,260.0,11,275.0,0.0,5.751759979458577,5.0,11.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
666,11923,10028202,-2147438137,15,6,10,1,1.0,9.0,3,1.0,1,1,10.0,0,2.0,1.0,1.350000031438181,1.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
667,11923,10028202,-2147438120,14,4,8,0,1.0,6.0,2,1.4285714285714286,2,0,0.0,0,-6.0,0.0,0.9999999895448186,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,11923,10028202,-2147438110,15,4,11,3,3.0,16.0,8,1.1,6,1,206.0,3,1.0,7.0,8.154656954574424,8.0,16.0,1.0,36.0,1.0,1.0,6.0,8.0,1.0,1.0
669,11923,10028202,-2147438107,10,8,3,0,1.0,2.0,1,1.0,1,0,0.0,0,-36.0,0.0,1.9385400523706737,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
670,11923,10028202,-2147438097,15,4,12,2,3.0,11.0,7,1.0,3,1,50.0,0,2.0,2.0,6.449712730033178,6.0,11.0,0.0,4.0,16.0,4.0,2.0,6.0,16.0,4.0
671,11923,10028202,-2147438089,14,4,10,0,1.0,6.0,2,1.1111111111111112,1,0,0.0,0,-9.0,0.0,2.39356200617301,2.0,6.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0
672,11923,10028202,-2147438087,15,4,7,1,3.0,8.0,5,1.8333333333333333,1,1,86.0,2,1.0,2.0,8.001510440480331,8.0,8.0,0.0,4.0,36.0,6.0,2.0,8.0,36.0,6.0
673,11923,10028205,-2147438138,14,13,2,9,3.0,5.0,4,1.0,10,0,0.0,8,24.0,7.0,4.066695198944094,4.0,5.0,3.0,16.0,9.0,3.0,4.0,4.0,9.0,3.0
674,11923,10028205,-2147438135,14,13,2,9,2.0,5.0,3,1.0,10,0,3.0,9,22.0,6.0,4.109338655137477,4.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0
675,11923,10028205,-2147438133,14,13,2,9,2.0,9.0,5,1.0,10,0,3.0,9,41.0,0.0,4.157634340846848,4.0,9.0,4.0,16.0,16.0,4.0,4.0,4.0,16.0,4.0
676,11923,10028205,-2147438130,14,13,2,9,4.0,5.0,4,1.0,10,1,0.0,7,10.0,7.0,3.74383450278314,3.0,5.0,3.0,16.0,16.0,4.0,4.0,3.0,16.0,4.0
677,11923,10028205,-2147438127,14,13,2,8,1.0,5.0,3,1.0,10,1,0.0,10,10.0,10.0,3.91480746471977,3.0,5.0,4.0,36.0,49.0,7.0,6.0,3.0,49.0,7.0
678,11923,10028205,-2147438105,15,13,2,9,4.0,5.0,4,2.0,10,1,0.0,6,9.0,6.0,3.6843016372757,3.0,5.0,2.0,16.0,9.0,3.0,4.0,3.0,9.0,3.0
679,11923,10028205,-2147438101,14,13,2,9,3.0,5.0,4,1.0,10,1,0.0,7,21.0,7.0,3.7717951629306707,3.0,5.0,3.0,16.0,16.0,4.0,4.0,3.0,16.0,4.0
680,11923,10028205,-2147438099,14,13,2,11,3.0,10.0,6,1.0,10,0,0.0,7,25.0,7.0,4.012246089827115,4.0,10.0,3.0,16.0,9.0,3.0,4.0,4.0,9.0,3.0
681,11923,10028205,-2147438094,14,13,2,10,5.0,5.0,5,1.0,10,1,0.0,9,18.0,4.0,3.878151502969401,3.0,5.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
682,11923,10028205,-2147438086,15,13,2,9,1.0,9.0,5,2.0,10,1,0.0,10,89.0,0.0,4.115615842142947,4.0,9.0,4.0,16.0,16.0,4.0,4.0,4.0,16.0,4.0
683,11923,10028205,-2147438083,15,14,2,10,5.0,5.0,5,1.0,10,1,0.0,10,56.0,0.0,4.031733861700355,4.0,5.0,4.0,16.0,16.0,4.0,4.0,4.0,16.0,4.0
684,11923,10028271,-2147438101,14,6,2,5,2.0,3.0,2,8.0,5,1,0.0,3,60.0,0.0,2.6883523222212133,2.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
685,11923,10028344,-2147438129,7,6,2,3,1.0,2.0,1,1.0,3,1,50.0,3,35.0,0.0,2.088564265437825,2.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
686,11923,10028344,-2147438126,15,5,5,2,1.0,3.0,2,2.5,3,1,0.0,2,12.0,2.0,2.204719461131453,2.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,2.0
687,11923,10028344,-2147438124,12,9,3,6,3.0,6.0,4,1.5,10,1,220.0,9,24.0,0.0,3.3743045927979787,3.0,6.0,4.0,16.0,9.0,3.0,4.0,3.0,9.0,3.0
688,11923,10028344,-2147438110,13,6,4,2,1.0,2.0,1,2.3333333333333335,2,1,3.0,2,11.0,3.0,1.276096889488958,1.0,2.0,0.0,9.0,4.0,2.0,3.0,0.0,9.0,3.0
689,11923,10028365,-2147438088,9,5,3,10,2.0,13.0,6,2.0,10,0,0.0,10,104.0,0.0,3.1813944282935456,3.0,13.0,4.0,16.0,9.0,3.0,4.0,0.0,0.0,0.0
690,11923,10028594,-2147438118,10,8,2,6,2.0,6.0,4,2.0,5,1,0.0,6,213.0,0.0,3.248232648028048,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
691,11923,10028594,-2147438117,9,8,2,7,1.0,4.0,2,1.0,5,0,0.0,5,121.0,0.0,3.187672280870193,3.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
692,11923,10028772,-2147438140,15,4,9,31,16.0,110.0,51,1.375,40,1,0.0,40,33.0,0.0,-49.79537392610814,0.0,110.0,18.0,324.0,0.0,0.0,18.0,0.0,0.0,0.0
693,11923,10028772,-2147438131,15,8,7,5,4.0,12.0,6,1.1666666666666667,4,1,13.0,4,36.0,0.0,6.009915931031392,6.0,12.0,1.0,1.0,36.0,6.0,1.0,6.0,36.0,6.0
694,11923,10028772,-2147438124,15,6,9,3,1.0,9.0,6,1.125,4,1,3.0,4,36.0,0.0,1.8478315000669365,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
695,11923,10028772,-2147438123,15,6,9,4,2.0,10.0,5,1.125,4,1,3.0,3,36.0,0.0,3.455379322610799,3.0,10.0,1.0,1.0,9.0,3.0,1.0,3.0,9.0,3.0
696,11923,10028772,-2147438099,14,9,5,4,2.0,10.0,6,1.25,4,0,0.0,4,36.0,0.0,3.5957491965951927,3.0,10.0,1.0,1.0,9.0,3.0,1.0,3.0,9.0,3.0
697,11923,10028772,-2147438086,15,6,10,3,1.0,12.0,5,1.0,4,1,16.0,4,36.0,0.0,-8.277182278029688,0.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
698,11923,10028772,-2147438083,15,5,9,4,2.0,11.0,4,1.25,4,1,16.0,3,36.0,0.0,0.24259491211361262,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
699,11923,10028969,-2147438082,15,5,6,4,1.0,4.0,3,2.0,2,0,0.0,3,14.0,6.0,3.9999999937914272,3.0,4.0,1.0,25.0,9.0,3.0,5.0,3.0,9.0,3.0
700,11923,10029097,-2147438124,15,14,2,3,4.0,18.0,11,1.0,0,0,0.0,0,-7.0,4.0,1.6227447942450997,1.0,18.0,0.0,16.0,9.0,3.0,4.0,0.0,16.0,4.0
701,11923,10029097,-2147438123,15,12,3,4,4.0,9.0,6,1.5,1,0,543.0,1,1.0,7.0,2.1100753047202985,2.0,9.0,0.0,49.0,25.0,5.0,7.0,2.0,25.0,5.0
702,11923,10029097,-2147438086,15,8,7,2,1.0,16.0,8,1.1666666666666667,4,0,53.0,0,0.0,3.0,18.217445906831507,16.0,16.0,0.0,9.0,169.0,13.0,3.0,16.0,169.0,13.0
703,11923,10029097,-2147438083,14,13,2,1,5.0,6.0,5,1.0,1,0,30.0,0,-1.0,5.0,1.7362807443477184,1.0,7.0,0.0,25.0,16.0,4.0,5.0,0.0,25.0,5.0
704,11923,10029195,-2147438101,14,10,2,3,2.0,5.0,3,4.0,5,0,0.0,6,29.0,1.0,3.010810474221234,3.0,5.0,2.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0
705,11923,10029226,-2147438069,7,5,2,9,1.0,3.0,2,2.0,8,0,3.0,9,425.0,0.0,4.751870711385368,3.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
706,11923,10029529,-2147438130,15,5,9,1,1.0,7.0,3,1.25,2,1,36.0,1,5.0,2.0,3.9999999939078483,3.0,7.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0
707,11923,10029529,-2147438127,15,4,10,2,1.0,7.0,3,1.2222222222222223,3,0,50.0,3,4.0,6.0,4.138687201103583,4.0,7.0,1.0,25.0,4.0,2.0,5.0,4.0,4.0,2.0
708,11923,10029529,-2147438124,15,4,9,1,1.0,10.0,3,1.375,3,1,166.0,2,5.0,4.0,3.92611344897221,3.0,10.0,0.0,16.0,1.0,1.0,4.0,3.0,1.0,1.0
709,11923,10029529,-2147438123,15,6,9,4,1.0,8.0,4,1.125,3,1,180.0,3,5.0,1.0,3.840054508868172,3.0,8.0,1.0,0.0,4.0,2.0,0.0,3.0,4.0,2.0
710,11923,10029529,-2147438110,11,4,4,0,1.0,1.0,1,2.3333333333333335,0,0,3.0,0,-6.0,0.0,1.3054059944113194,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
