clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey,medkey
10023,4180,2021-03-12 05:32:03.253,0.292100,7,2,507733
10023,3817,2021-03-12 05:32:03.253,0.144600,7,2,507730
10023,4950,2020-05-22 08:11:50.203,21.247100,7,2,507727
10023,3094,2021-03-12 05:32:03.253,1.816000,7,2,507726
10023,3048,2021-03-12 05:32:03.253,7.240000,7,2,507725
10023,K0828A,2021-04-28 08:21:26.347,0.000000,7,2,507724
10023,1879,2021-03-12 05:32:03.253,2.725700,7,2,507723
10023,4307,2020-05-22 08:11:50.203,0.313000,7,2,507825
10023,9907,2020-05-22 08:11:50.203,0.000000,7,2,507820
10023,3638,2020-05-22 08:11:50.203,1.267600,7,2,507819
10023,17230,2021-03-12 05:32:03.253,1.768000,7,2,507818
10023,1227,2021-03-12 05:32:03.253,0.729000,7,2,507817
10023,4419,2021-03-12 05:32:03.253,201.690000,7,2,507816
10023,19809,2021-03-12 01:27:15.983,3.810000,7,2,507814
10023,2911,2020-05-22 08:11:50.203,2.958000,7,2,507813
10023,16567,2021-03-12 05:32:03.253,103.438000,7,2,507812
10023,2081,2021-03-12 05:32:03.253,0.199400,7,2,507810
10023,12321,2021-03-12 05:32:03.253,0.075800,7,2,507809
10023,1713,2020-05-22 08:11:50.203,5.625800,7,2,507808
10023,K0802,2021-04-28 08:21:26.347,0.000000,7,2,507806
10023,6265,2020-05-22 08:11:50.203,6.466800,7,2,507805
10023,4726,2021-03-12 05:32:03.253,45.906000,7,2,507804
10023,4072,2021-03-12 05:32:03.253,26.770000,7,2,507803
10023,2981,2021-03-12 05:32:03.253,3.298000,7,2,507802
10023,7706,2020-05-22 08:11:50.203,9.847700,7,2,507801
10023,6736,2021-03-12 05:32:03.253,1.107700,7,2,507800
10023,5511,2021-03-12 05:32:03.253,3.997700,7,2,507799
10023,9378,2020-05-22 08:11:50.203,1.000000,7,2,507797
10023,1156,2021-03-12 05:32:03.253,4.363200,7,2,510210
10023,7372,2020-05-22 08:11:50.203,1033.280000,7,2,510209
10023,5964,2021-03-12 05:32:03.253,0.279800,7,2,510208
10023,11474,2021-03-12 05:32:03.253,0.205900,7,2,510207
10023,6684,2021-03-12 05:32:03.253,1.042800,7,2,510204
10023,13325,2020-05-22 08:11:50.203,0.240000,7,2,510203
10023,3141,2021-03-12 05:32:03.253,0.114700,7,2,510198
10023,2589,2020-05-22 08:11:50.203,0.401600,7,2,510197
10023,6378,2021-03-12 05:32:03.253,3.120100,7,2,510196
10023,1370,2021-03-12 05:32:03.253,0.288300,7,2,510195
10023,T0857,2020-05-22 08:11:50.203,0.000000,7,2,510192
10023,13180,2021-03-12 05:32:03.253,2.160000,7,2,510189
10023,3738,2021-03-12 05:32:03.253,1.100000,7,2,510188
10023,3437,2021-03-12 05:32:03.253,0.915600,7,2,510186
10023,1,2020-05-22 08:11:50.203,0.000000,7,2,509848
10023,2763,2020-05-22 08:11:50.203,0.081100,7,2,509847
10023,14027,2021-03-12 05:32:03.253,5.550000,7,2,509845
10023,4596,2021-03-12 05:32:03.253,0.065900,7,2,509844
10023,6737,2020-05-22 08:11:50.203,0.361300,7,2,509843
10023,4658,2021-03-12 05:32:03.253,27.152000,7,2,509842
10023,2079,2021-03-12 05:32:03.253,0.166200,7,2,509841
10023,18899,2020-05-22 08:11:50.203,3.330000,7,2,509839
10023,1245,2021-03-12 05:32:03.253,6.710000,7,2,509838
10023,2717,2021-03-12 05:32:03.253,0.031200,7,2,509837
10023,5312,2021-03-12 05:32:03.253,3.628000,7,2,509833
10023,12220,2020-05-22 08:11:50.203,5.419670,7,2,509832
10023,T1022,2020-05-22 08:11:50.203,0.000000,7,2,509830
10023,4300,2021-03-12 05:32:03.253,0.150700,7,2,509829
10023,10001,2020-05-22 08:11:50.203,0.000000,7,2,509827
10023,6160,2021-03-12 05:32:03.253,15.961600,7,2,509825
10023,3419,2021-03-12 05:32:03.253,1.332500,7,2,509824
10023,7658,2020-05-22 08:11:50.203,73.940000,7,2,509823
10023,4564,2021-03-12 05:32:03.253,0.219000,7,2,509822
10023,6696,2021-03-12 05:32:03.253,13.470000,7,2,509925
10023,1717,2021-03-12 05:32:03.253,5.287900,7,2,509923
10023,4576,2021-03-12 05:32:03.253,0.125600,7,2,509921
10023,11632,2021-03-12 05:32:03.253,68.310000,7,2,509920
10023,TBA05PACU,2020-05-22 08:11:50.203,0.000000,7,2,509919
10023,19579,2021-03-12 05:32:03.253,0.871800,7,2,509918
10023,3513,2021-03-12 05:32:03.253,5.410000,7,2,509914
10023,7711,2021-03-12 05:32:03.253,0.628700,7,2,509913
10023,7720,2021-03-12 05:32:03.253,25.923600,7,2,509909
10023,4031,2021-03-12 05:32:03.253,132.300000,7,2,509905
10023,3065,2020-05-22 08:11:50.203,0.181100,7,2,509904
10023,1997,2021-03-12 05:32:03.253,2.712900,7,2,509859
10023,T0868,2020-05-22 08:11:50.203,0.000000,7,2,509858
10023,11656,2021-03-12 05:32:03.253,1.101000,7,2,509857
10023,3887,2021-03-12 05:32:03.253,72.829000,7,2,509856
10023,9982,2020-05-22 08:11:50.203,0.000000,7,2,509854
10023,4252,2021-03-12 05:32:03.253,0.165800,7,2,509853
10023,1908,2021-03-12 05:32:03.253,1.990000,7,2,509741
10023,12758,2021-03-12 05:32:03.253,18.225200,7,2,509738
10023,1373,2021-03-12 05:32:03.253,43.150000,7,2,509737
10023,11665,2020-05-22 08:11:50.203,0.539900,7,2,509736
10023,3494,2021-03-12 05:32:03.253,0.710000,7,2,509735
10023,3592,2021-03-12 05:32:03.253,0.661600,7,2,509733
10023,5826,2020-05-22 08:11:50.203,7.161100,7,2,509732
10023,1481,2021-03-12 05:32:03.253,7.998000,7,2,509731
10023,6031,2020-05-22 08:11:50.203,146.734000,7,2,509686
10023,3135,2021-03-12 05:32:03.253,0.046300,7,2,509685
10023,T0840,2020-05-22 08:11:50.203,0.000000,7,2,509684
10023,4728,2021-03-12 05:32:03.253,149.797000,7,2,509683
10023,PPAPER,2020-05-22 08:11:50.203,1.620000,7,2,509682
10023,2736,2021-03-12 05:32:03.253,1.860000,7,2,509680
10023,12562,2021-03-12 05:32:03.253,3.337700,7,2,509678
10023,5715,2021-03-12 05:32:03.253,4.940000,7,2,509677
10023,2578,2020-05-22 08:11:50.203,0.332500,7,2,509674
10023,15356,2021-03-12 05:32:03.253,0.110700,7,2,509673
10023,7164,2021-03-12 05:32:03.253,2.825100,7,2,509672
10023,1457,2021-03-12 05:32:03.253,2.014000,7,2,509671
10023,11215,2021-03-12 05:32:03.253,5.909600,7,2,509670
10023,8887,2020-05-22 08:11:50.203,0.000000,7,2,509669
10023,1110,2021-03-12 05:32:03.253,51.570000,7,2,509818
